departamento,codigodanedepartamento,municipio,codigodanemunicipio,tipoarea,sitio,ano,mes,rangoedad,grupoetnico,condicion,estado,genero,latitudcabecera,longitudcabecera,tipoevento,Ubicación,Actividad
SUCRE,70,OVEJAS,70508,Rural,Sin informacin,2004,5,Mayor de 18 aos,No,Civil,Hombre,Herido,9.517463,-75.229197,Sin informacion,9517463 75229197,Pasando estando cerca
META,50,PUERTO GAITN,50568,Rural,Sector Mataperra,2006,2,Mayor de 18 aos,No,Civil,Hombre,Muerto,4.31929072258,-72.0846484097,Sin informacion,431929072258 720846484097,Viajando
SANTANDER,68,RIONEGRO,68615,Rural,Sitio Los Cocos,1994,3,Mayor de 18 aos,No,Fuerza pblica,Hombre,Herido,7.268891,-73.152703,Sin informacion,7268891 73152703,Fuerza pblica
ANTIOQUIA,5,SAN LUIS,5660,Rural,Vereda San Antonio,2005,7,Mayor de 18 aos,No,Civil,Hombre,Herido,6.042723,-74.994899,Sin informacion,6042723 74994899,Pasando estando cerca
CAQUETA,18,FLORENCIA,18001,Rural,Vereda Santana De Las Hermosas,1996,4,Mayor de 18 aos,No,Fuerza pblica,Hombre,Herido,1.621012,-75.619118,Sin informacion,1621012 75619118,Fuerza pblica
CASANARE,85,TAURAMENA,85410,Rural,Caserio El Palmar,2002,2,Menor de 18 aos,No,Civil,Hombre,Muerto,5.017559,-72.747059,Sin informacion,5017559 72747059,Sin Informacin
CASANARE,85,TAURAMENA,85410,Rural,Caserio El Palmar,2002,2,Mayor de 18 aos,No,Civil,Hombre,Muerto,5.017559,-72.747059,Sin informacion,5017559 72747059,Viajando
CASANARE,85,TAURAMENA,85410,Rural,Caserio El Palmar,2002,2,Menor de 18 aos,No,Civil,Hombre,Muerto,5.017559,-72.747059,Sin informacion,5017559 72747059,Viajando
CASANARE,85,TAURAMENA,85410,Rural,Caserio El Palmar,2002,2,Menor de 18 aos,No,Civil,Hombre,Muerto,5.017559,-72.747059,Sin informacion,5017559 72747059,Viajando
CASANARE,85,TAURAMENA,85410,Rural,Caserio El Palmar,2002,2,Menor de 18 aos,No,Civil,Hombre,Muerto,5.017559,-72.747059,Sin informacion,5017559 72747059,Viajando
ANTIOQUIA,5,APARTAD,5045,Rural,Corregimiento Nueva Antioquia,2003,3,Mayor de 18 aos,No,Civil,Hombre,Herido,7.882098,-76.625111,Sin informacion,7882098 76625111,Sin Informacin
CAUCA,19,EL TAMBO,19256,Rural,Vereda Las Palmas,2007,12,Mayor de 18 aos,No,Fuerza pblica,Hombre,Muerto,2.768056,-76.923333,Sin informacion,2768056 76923333,Fuerza pblica
CAUCA,19,EL TAMBO,19256,Rural,Vereda Las Palmas,2007,12,Mayor de 18 aos,No,Fuerza pblica,Hombre,Herido,2.768056,-76.923333,Sin informacion,2768056 76923333,Fuerza pblica
CAUCA,19,EL TAMBO,19256,Rural,Vereda Las Palmas,2007,12,Mayor de 18 aos,No,Fuerza pblica,Hombre,Herido,2.768056,-76.923333,Sin informacion,2768056 76923333,Fuerza pblica
ARAUCA,81,ARAUQUITA,81065,Rural,Sitio Las Casetas,2003,12,Mayor de 18 aos,No,Fuerza pblica,Hombre,Herido,7.023186,-71.384978,Sin informacion,7023186 71384978,Fuerza pblica
ANTIOQUIA,5,MEDELLN,5001,Urbana,Quebrada El Burro,2001,10,Menor de 18 aos,No,Civil,Hombre,Herido,6.229209,-75.564887,Sin informacion,6229209 75564887,Sin Informacin
ANTIOQUIA,5,TMESIS,5789,Rural,Vereda Corozal,1992,11,Menor de 18 aos,No,Civil,Mujer,Muerto,5.666284,-75.714279,Sin informacion,5666284 75714279,Sin Informacin
ANTIOQUIA,5,TMESIS,5789,Rural,Vereda Corozal,1992,11,Menor de 18 aos,No,Civil,Mujer,Herido,5.666284,-75.714279,Sin informacion,5666284 75714279,Sin Informacin
ANTIOQUIA,5,SAN CARLOS,5649,Rural,Santa Helena,2007,6,Mayor de 18 aos,No,Fuerza pblica,Hombre,Herido,6.11583333333333,-74.9275,Sin informacion,611583333333333 749275,Fuerza pblica
META,50,PUERTO RICO,50590,Rural,Finca Las Lanchas,2003,7,Menor de 18 aos,No,Civil,Mujer,Herido,2.939542,-73.207891,Sin informacion,2939542 73207891,Sin Informacin
META,50,PUERTO RICO,50590,Rural,Finca Las Lanchas,2003,7,Menor de 18 aos,No,Civil,Mujer,Herido,2.939542,-73.207891,Sin informacion,2939542 73207891,Pasando estando cerca
META,50,PUERTO RICO,50590,Rural,Finca Las Lanchas,2003,7,Mayor de 18 aos,No,Civil,Hombre,Herido,2.939542,-73.207891,Sin informacion,2939542 73207891,Sin Informacin
ANTIOQUIA,5,MEDELLN,5001,Rural,Barrio Prado,2004,10,Mayor de 18 aos,No,Civil,Hombre,Muerto,6.229209,-75.564887,Sin informacion,6229209 75564887,Pasando estando cerca
META,50,LA MACARENA,50350,Rural,La Tunia,2004,11,Mayor de 18 aos,No,Fuerza pblica,Hombre,Herido,1.79,-74.178,Sin informacion,179 74178,Fuerza pblica
META,50,LA MACARENA,50350,Rural,La Tunia,2004,11,Mayor de 18 aos,No,Fuerza pblica,Hombre,Herido,1.79,-74.178,Sin informacion,179 74178,Fuerza pblica
META,50,LA MACARENA,50350,Rural,La Tunia,2004,11,Mayor de 18 aos,No,Fuerza pblica,Hombre,Herido,1.79,-74.178,Sin informacion,179 74178,Fuerza pblica
NARIO,52,SANTA CRUZ,52699,Rural,Vereda El Sande,2007,8,Mayor de 18 aos,No,Civil,Hombre,Herido,1.22182,-77.677265,Sin informacion,122182 77677265,Pasando estando cerca
NARIO,52,SANTA CRUZ,52699,Rural,Vereda El Sande,2007,8,Mayor de 18 aos,Indigena,Civil,Hombre,Herido,1.22182,-77.677265,Sin informacion,122182 77677265,Pasando estando cerca
NARIO,52,SANTA CRUZ,52699,Rural,Vereda El Sande,2007,8,Mayor de 18 aos,Indigena,Civil,Hombre,Herido,1.22182,-77.677265,Sin informacion,122182 77677265,Pasando estando cerca
META,50,PUERTO RICO,50590,Rural,Vereda La Reforma El Danubio,2008,4,Mayor de 18 aos,No,Fuerza pblica,Hombre,Herido,2.722778,-73.286389,Sin informacion,2722778 73286389,Fuerza pblica
META,50,PUERTO RICO,50590,Rural,Vereda La Reforma El Danubio,2008,4,Mayor de 18 aos,No,Fuerza pblica,Hombre,Muerto,2.722778,-73.286389,Sin informacion,2722778 73286389,Fuerza pblica
META,50,PUERTO RICO,50590,Rural,Vereda La Reforma El Danubio,2008,4,Mayor de 18 aos,No,Fuerza pblica,Hombre,Herido,2.722778,-73.286389,Sin informacion,2722778 73286389,Fuerza pblica
META,50,PUERTO RICO,50590,Rural,Vereda La Reforma El Danubio,2008,4,Mayor de 18 aos,No,Fuerza pblica,Hombre,Herido,2.722778,-73.286389,Sin informacion,2722778 73286389,Fuerza pblica
META,50,PUERTO RICO,50590,Rural,Vereda La Reforma El Danubio,2008,4,Mayor de 18 aos,No,Fuerza pblica,Hombre,Muerto,2.722778,-73.286389,Sin informacion,2722778 73286389,Fuerza pblica
META,50,PUERTO RICO,50590,Rural,Vereda La Reforma El Danubio,2008,4,Mayor de 18 aos,No,Fuerza pblica,Hombre,Muerto,2.722778,-73.286389,Sin informacion,2722778 73286389,Fuerza pblica
META,50,PUERTO RICO,50590,Rural,Vereda La Reforma El Danubio,2008,4,Mayor de 18 aos,No,Fuerza pblica,Hombre,Muerto,2.722778,-73.286389,Sin informacion,2722778 73286389,Fuerza pblica
META,50,PUERTO RICO,50590,Rural,Vereda La Reforma El Danubio,2008,4,Mayor de 18 aos,No,Fuerza pblica,Hombre,Muerto,2.722778,-73.286389,Sin informacion,2722778 73286389,Fuerza pblica
META,50,PUERTO RICO,50590,Rural,Vereda La Reforma El Danubio,2008,4,Mayor de 18 aos,No,Fuerza pblica,Hombre,Herido,2.722778,-73.286389,Sin informacion,2722778 73286389,Fuerza pblica
META,50,PUERTO RICO,50590,Rural,Vereda La Reforma El Danubio,2008,4,Mayor de 18 aos,No,Fuerza pblica,Hombre,Muerto,2.722778,-73.286389,Sin informacion,2722778 73286389,Fuerza pblica
META,50,PUERTO RICO,50590,Rural,Vereda La Reforma El Danubio,2008,4,Mayor de 18 aos,No,Fuerza pblica,Hombre,Muerto,2.722778,-73.286389,Sin informacion,2722778 73286389,Fuerza pblica
META,50,PUERTO RICO,50590,Rural,Vereda La Reforma El Danubio,2008,4,Mayor de 18 aos,No,Fuerza pblica,Hombre,Herido,2.722778,-73.286389,Sin informacion,2722778 73286389,Fuerza pblica
ANTIOQUIA,5,GUARNE,5318,Rural,Vereda El Molino,2007,6,Menor de 18 aos,No,Civil,Hombre,Herido,6.278022,-75.441873,Sin informacion,6278022 75441873,Manipulacin
NARIO,52,POLICARPA,52540,Rural,Vereda Los Guamos,2005,6,Mayor de 18 aos,No,Fuerza pblica,Hombre,Herido,1.783333,-77.526667,Sin informacion,1783333 77526667,Fuerza pblica
NARIO,52,POLICARPA,52540,Rural,Vereda Los Guamos,2005,6,Mayor de 18 aos,No,Fuerza pblica,Hombre,Muerto,1.783333,-77.526667,Sin informacion,1783333 77526667,Fuerza pblica
NARIO,52,POLICARPA,52540,Rural,Vereda Los Guamos,2005,6,Mayor de 18 aos,No,Fuerza pblica,Hombre,Muerto,1.783333,-77.526667,Sin informacion,1783333 77526667,Fuerza pblica
NARIO,52,POLICARPA,52540,Rural,Vereda Los Guamos,2005,6,Mayor de 18 aos,No,Fuerza pblica,Hombre,Herido,1.783333,-77.526667,Sin informacion,1783333 77526667,Fuerza pblica
TOLIMA,73,IBAGU,73001,Rural,Sitio Alto El Helecho,2005,11,Mayor de 18 aos,No,Fuerza pblica,Hombre,Muerto,4.419413,-75.179926,Sin informacion,4419413 75179926,Fuerza pblica
TOLIMA,73,IBAGU,73001,Rural,Sitio Alto El Helecho,2005,11,Mayor de 18 aos,No,Fuerza pblica,Hombre,Muerto,4.419413,-75.179926,Sin informacion,4419413 75179926,Fuerza pblica
PUTUMAYO,86,PUERTO CAICEDO,86569,Rural,Vereda La Pedregosa,2004,5,Mayor de 18 aos,No,Civil,Hombre,Herido,0.68938,-76.603594,Sin informacion,068938 76603594,Sin Informacin
ANTIOQUIA,5,SAN CARLOS,5649,Rural,Area General,2006,3,Mayor de 18 aos,No,Fuerza pblica,Hombre,Herido,6.187566,-74.993636,Sin informacion,6187566 74993636,Fuerza pblica
NARIO,52,ROBERTO PAYN,52621,Rural,Vereda La Loma Linda,2002,6,Mayor de 18 aos,No,Civil,Hombre,Muerto,1.696987,-78.244676,Sin informacion,1696987 78244676,Agricultura
PUTUMAYO,86,VALLE DEL GUAMUEZ,86865,Rural,Vereda Lomas De Sanmiguel,2007,9,Mayor de 18 aos,No,Fuerza pblica,Hombre,Herido,0.424591,-76.905657,Sin informacion,0424591 76905657,Fuerza pblica
ANTIOQUIA,5,YOND,5893,Rural,Vereda Felicidad,2001,12,Mayor de 18 aos,No,Civil,Hombre,Herido,7.006776,-73.909682,Sin informacion,7006776 73909682,Recogiendo comida agua   madera
ARAUCA,81,TAME,81794,Rural,Vereda La Orqueta,2004,10,Mayor de 18 aos,No,Civil,Hombre,Herido,6.461209,-71.730855,Sin informacion,6461209 71730855,Pasando estando cerca
PUTUMAYO,86,SAN MIGUEL,86757,Rural,Vereda Dios Pea,2007,6,Mayor de 18 aos,No,Fuerza pblica,Hombre,Muerto,0.269167,-76.800556,Sin informacion,0269167 76800556,Fuerza pblica
ANTIOQUIA,5,SAN CARLOS,5649,Rural,Vereda Canafistol,2003,3,Mayor de 18 aos,No,Civil,Hombre,Herido,6.187566,-74.993636,Sin informacion,6187566 74993636,Sin Informacin
NARIO,52,POLICARPA,52540,Rural,Vereda Valvanera,2006,7,Mayor de 18 aos,No,Fuerza pblica,Hombre,Herido,1.8025,-77.501667,Sin informacion,18025 77501667,Fuerza pblica
CAUCA,19,EL TAMBO,19256,Rural,La Calera,2005,9,Mayor de 18 aos,No,Fuerza pblica,Hombre,Herido,2.376667,-77.072778,Sin informacion,2376667 77072778,Fuerza pblica
CESAR,20,AGUACHICA,20011,Rural,Vereda La Yeguerita,2004,6,Mayor de 18 aos,No,Civil,Hombre,Herido,8.246159,-73.576768,Sin informacion,8246159 73576768,Pasando estando cerca
PUTUMAYO,86,SAN MIGUEL,86757,Rural,La Dorada,2003,2,Mayor de 18 aos,Indigena,Civil,Hombre,Herido,0.340764,-76.908027,Sin informacion,0340764 76908027,Agricultura
ARAUCA,81,TAME,81794,Rural,Sin informacin,2005,7,Mayor de 18 aos,No,Fuerza pblica,Hombre,Herido,6.466111,-71.354444,Sin informacion,6466111 71354444,Fuerza pblica
ARAUCA,81,TAME,81794,Rural,Sin informacin,2005,7,Mayor de 18 aos,No,Fuerza pblica,Hombre,Muerto,6.466111,-71.354444,Sin informacion,6466111 71354444,Fuerza pblica
ARAUCA,81,TAME,81794,Rural,Sin informacin,2005,7,Mayor de 18 aos,No,Fuerza pblica,Hombre,Herido,6.466111,-71.354444,Sin informacion,6466111 71354444,Fuerza pblica
META,50,VISTAHERMOSA,50711,Rural,Vereda Cao Amarillo Finca Laureles,2006,11,Menor de 18 aos,No,Civil,Hombre,Herido,3.125088,-73.752373,Sin informacion,3125088 73752373,Manipulacin
META,50,VISTAHERMOSA,50711,Rural,Vereda Cao Amarillo Finca Laureles,2006,11,Menor de 18 aos,No,Civil,Mujer,Herido,3.125088,-73.752373,Sin informacion,3125088 73752373,Manipulacin
